Name,Region,Municipality,URL,Latitude,Longitude
Venus,Π.Ε. ΕΥΒΟΙΑΣ [6],Δήμος Καρύστου,,38.1639014,24.2110429
Κοκκίνι,Π.Ε. ΕΥΒΟΙΑΣ [6],Δήμος Καρύστου,,,
Κρεμάλα,Π.Ε. ΕΥΒΟΙΑΣ [6],Δήμος Καρύστου,,38.0119463,24.4102123
Λουτράκι-Μπούτσι/Poseidon Resort,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Λουτρακίου - Περαχώρας - Αγίων Θεοδώρων,,,
Λουτράκι 1,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Λουτρακίου - Περαχώρας - Αγίων Θεοδώρων,,37.9743673,22.9777228
Λουτράκι 2,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Λουτρακίου - Περαχώρας - Αγίων Θεοδώρων,,37.9743673,22.9777228
Πευκάκια-Άγιοι Θεόδωροι,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Λουτρακίου - Περαχώρας - Αγίων Θεοδώρων,,,
Αλμυρή,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Κορινθίων,,37.8471196,23.0010495
Καλάμια,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Κορινθίων,,37.938317,22.9175835
Κόρφος,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Κορινθίων,,37.7650766,23.1239335
Λέχαιο,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Κορινθίων,,37.9352428,22.8443589
Ποσειδωνία,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Κορινθίων,,37.9460821,22.9579811
Βραχάτι,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Βέλου-Βόχας,,37.954835,22.8036358
Κοκκώνι,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Βέλου-Βόχας,,37.9689241,22.7783307
Πευκιάς,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Σικυωνίων,,,
Δερβένι,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Ξυλοκάστρου - Ευρωστίνης,,38.1353423,22.427006
Ξυλόκαστρο-Πευκιάς,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Ξυλοκάστρου - Ευρωστίνης,,,
Συκιά,Π.Ε. ΚΟΡΙΝΘΙΑΣ [15],Δήμος Ξυλοκάστρου - Ευρωστίνης,,38.0630665,22.6582427
Καραθώνα,Π.Ε. ΑΡΓΟΛΙΔΑΣ [4],Δήμος Ναυπλιέων,,37.5418353,22.8229743
Κονδύλι,Π.Ε. ΑΡΓΟΛΙΔΑΣ [4],Δήμος Ναυπλιέων,,37.5223214,22.9354549
Πλάκα,Π.Ε. ΑΡΓΟΛΙΔΑΣ [4],Δήμος Ναυπλιέων,,37.529716,22.8834214
Τολό,Π.Ε. ΑΡΓΟΛΙΔΑΣ [4],Δήμος Ναυπλιέων,,37.5211393,22.8597875
Άγιος Ανδρέας,Π.Ε. ΑΡΚΑΔΙΑΣ [4],Δήμος Βόρειας Κυνουρίας,,37.3446459,22.7643786
Ατσίγγανος,Π.Ε. ΑΡΚΑΔΙΑΣ [4],Δήμος Βόρειας Κυνουρίας,,37.4252406,22.7643323
Καλλιστώ,Π.Ε. ΑΡΚΑΔΙΑΣ [4],Δήμος Βόρειας Κυνουρίας,,37.4128794,22.762106
Ξηροπήγαδο,Π.Ε. ΑΡΚΑΔΙΑΣ [4],Δήμος Βόρειας Κυνουρίας,,37.4786788,22.7301128
Αρχάγγελος,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.6286837,22.8765228
Μεγάλη Άμμος,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.9737253,22.9909628
Μονεμβασιά,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.687856,23.0505652
Νεάπολη,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.5122479,23.0599479
Πλύτρα-Παχιάμμος,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.6893676, 22.8365620 
Πορί,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.7191236,23.0213454
Τηγάνια,Π.Ε. ΛΑΚΩΝΙΑΣ [7],Δήμος Μονεμβασιάς,,36.7388189,22.810254
Ανατολική Καλαμάτα 1/Ανάσταση,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Καλαμάτας,,37.0232461, 22.1327136 
Ανατολική Καλαμάτα 2-Τέρμα Ναυαρίνου,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Καλαμάτας,,,
Βέργα-Αλμυρός,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Καλαμάτας,,37.0090699, 22.1548181
Δυτική Καλάματα-Παραλία Κορδία,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Καλαμάτας,,,
Μικρή Μαντίνεια,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Καλαμάτας,,36.9826665,22.1498470
Μπούκα,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Μεσσήνης,,37.0144872,21.9936992
Γιάλοβα/Mandarin Oriental-Costa Navarino,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Πύλου-Νέστορος,,,
Γιάλοβα/W-Costa Navarino,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Πύλου-Νέστορος,,,
Dunes Beach-Costa Navarino,Π.Ε. ΜΕΣΣΗΝΙΑΣ [9],Δήμος Τριφυλίας,,,
Καϊάφας - Ζαχάρω 1,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ζαχάρως,,,
Καϊάφας - Ζαχάρω 2,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ζαχάρως,,,
Καϊάφας - Ζαχάρω 3,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ζαχάρως,,,
Σκαφιδιά,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Πύργου,,37.6997127, 21.3175966
Κουρούτα,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ήλιδας,,37.7694054,21.2938768
Αρκούδι,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Πηνειού,,37.8467984,21.1100941
Βαρθολομιό,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Πηνειού,,37.8610449,21.2087496
Γλύφα,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Πηνειού,,37.8423968,21.1443608
Κάστρο Κυλλήνης/Olympia Golden Beach Resort,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ανδραβίδας-Κυλλήνης,,,
Κάστρο-Χρυσή Ακτή 2/Robinson Kyllini Βeach,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ανδραβίδας-Κυλλήνης,,,
Λουτρά Κυλλήνης 1/Grecotel Olympia Oasis,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ανδραβίδας-Κυλλήνης,,,
Λουτρά Κυλλήνης 2/Grecotel La Riviera,Π.Ε. ΗΛΕΙΑΣ [12],Δήμος Ανδραβίδας-Κυλλήνης,,,
Καλογριά/Kalogria Beach,Π.Ε. ΑΧΑΪΑΣ [4],Δήμος Δυτικής Αχαΐας,,38.1356467,21.3693842
Λακκόπετρα/Lakopetra Beach,Π.Ε. ΑΧΑΪΑΣ [4],Δήμος Δυτικής Αχαΐας,,,
Αλυκή,Π.Ε. ΑΧΑΪΑΣ [4],Δήμος Αιγιαλείας,,38.2610931,22.1091946
Ελαιώνας,Π.Ε. ΑΧΑΪΑΣ [4],Δήμος Αιγιαλείας,,38.1988131,22.1698114
Κάτω Βασιλική,Π.Ε. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ [2],Δήμος Ναυπακτίας,,38.3521586,21.6256144
Κρυονέρι,Π.Ε. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ [2],Δήμος Ναυπακτίας,,38.3450431,21.5938371
Κανάλι,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πρέβεζας,,39.0692855,20.6967382
Κυανή,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πρέβεζας,,,
Μέγα Άμμος,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πρέβεζας,,,
Μονολίθι,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πρέβεζας,,39.0482985,20.7051899
Πλατάνια,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πρέβεζας,,39.2860447,20.7743806
Αμμουδιά,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πάργας,,39.2389946,20.4819963
Βάλτος/Parga Beach Resort,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πάργας,,,
Λούτσα,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πάργας,,39.1968722,20.5309885
Λύχνος,Π.Ε. ΠΡΕΒΕΖΑΣ [9],Δήμος Πάργας,,39.2859972,20.4341077
Αλμυρός/Grecotel Costa Botanica,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Βόρειας Κέρκυρας,,,
Αγία Αικατερίνη,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,39.6371387,19.8752161
Αίολος/Aeolos Beach Resort,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,39.5684202,19.9092849
Αλυκές Ποταμού/Louis Kerkyra Golf,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Γλυφάδα/Domes of Corfu,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Δασιά/Ikos,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Δασιά/Ikos Odisia,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Δαφνίλα/Eva,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Κανόνι,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,39.594145,19.9184102
Κομμένο/Corfu Imperial,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Κοντόκαλι/Kontokali Bay Resort,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,,
Μπενίτσες,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Κεντρικής Κέρκυρας και Διαποντίων Νήσων,,39.5440169,19.9133239
Άγιος Ιωάννης Περιστερών/Marbella Corfu,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Νότιας Κέρκυρας,,,
Ίσσος/Sandy Beach Resort,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Νότιας Κέρκυρας,,,
Μωραΐτικα/Delfinia Hotels,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Νότιας Κέρκυρας,,,
Μωραΐτικα/Domes Miramare Corfu,Π.Ε. ΚΕΡΚΥΡΑΣ [16],Δήμος Νότιας Κέρκυρας,,,
Αη Γιάννης,Π.Ε. ΛΕΥΚΑΔΑΣ [2],Δήμος Λευκάδας,,,
Λευκάδα-Γύρα,Π.Ε. ΛΕΥΚΑΔΑΣ [2],Δήμος Λευκάδας,,,
Πόλη-Τα Δεξιά,Π.Ε. ΙΘΑΚΗΣ [1],Δήμος Ιθάκης,,,
Άβυθος,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.1009143,20.5403857
Αϊ Χέλης,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.1037072,20.5230274
Άμμες,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.1092818,20.5098494
Αράγια Πόρου,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,,
Λουρδάς,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.1114918,20.6378749
Μακρύς Γιαλός,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.1540106,20.4813803
Μεγάλη Άμμος,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,,
Μπούκα Γραδάκια,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,,
Πλατύς Γιαλός,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.151713,20.4846317
Σκάλα 1,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.0766213,20.7703458
Σκάλα 2,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Αργοστολίου,,38.076786,20.7701151
Πετανοί,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Ληξουρίου,,,
Λέπεδα,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Ληξουρίου,,38.1784842,20.4389234
Αντίσαμος,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Σάμης,,38.2608428,20.6734305
Μύρτος,Π.Ε. ΚΕΦΑΛΟΝΙΑΣ [15],Δήμος Σάμης,,38.3435134,20.5364578
Αλυκανάς 1,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,37.8364491,20.7809897
Αλυκές 1,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,37.8419478,20.7678147
Άμπουλα Τραγάκι,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,,
Κατραγάκι/Eleon Grand Resort,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,,
Μπανάνα Βασιλικού,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,,
Μπούκα,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,,
Τσιλιβί,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,37.8155909,20.8719262
Ψαρού,Π.Ε. ΖΑΚΥΝΘΟΥ [8],Δήμος Ζακύνθου,,37.8367966,20.817147
Γραμμένο,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Καντάνου-Σελίνου,,35.2333193,23.6362367
Παχειά Άμμος,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Καντάνου-Σελίνου,,,
Σούγια,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Καντάνου-Σελίνου,,35.2492675,23.8111002
Χαλίκια,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Καντάνου-Σελίνου,,35.2335015,23.6865605
Καστέλι/Μαύρος Μόλος-Πλάκα,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Κισσάμου,,,
Κολυμβάρι/Euphoria Resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Πλατανιά,,,
Πλατανιάς Λιμανάκι/Porto Platanias Beach,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Πλατανιά,,,
Πλατανιάς/Minoa Palace Resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Πλατανιά,,,
Πλατανιάς/Γερανιώτης,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Πλατανιά,,,
Ραπανιανά/Cavo Spada,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Πλατανιά,,,
Αγ. Απόστολοι 1,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5046124,23.9696188
Αγ. Απόστολοι 2,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5046124,23.9696188
Αγ. Μαρίνα/Santa Marina,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,,
Αγ. Μαρίνα/The noverian Antama organic beach resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,,
Αγ. Μαρίνα/Almira Beach,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,,
Αγ. Ονούφριος,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,,
Βλητές,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,,
Καλαθάς,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5485818,24.0833821
Καλαμάκι,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5134754,23.9690781
Κλαδισός/Domes Zeen Chania,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,,
Μαράθι,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.4991849,24.1798266
Νέα Χώρα,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5138793,24.009685
Σταλός,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5034319,23.9349619
Σταυρός,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5892287,24.0913821
Χρυσή Ακτή,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Χανίων,,35.5131677,23.9889583
Αλμυρίδα,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,35.4491516,24.2008832
Γεωργιούπολη/Corissia Hotels,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Γεωργιούπολη/Corissia Princess,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Γεωργιούπολη/Fereniki Beach Hotels & Resorts,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Anemos Luxury Grand Resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Delfina Tropic Beach,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Eliros Mare,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Georgioupolis Resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/La Mer Resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Mythos Palace,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Pepper sea club hotel,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Vantaris Palace,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καβρός/Ventale Islande Breeze Resort,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Καλύβες Ξυδά,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Κυανή,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,35.4660511,24.155463
Μαϊστράλι,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Περαστικός/Mare Monte,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Περαστικός/Pilot Beach,Π.Ε. ΧΑΝΙΩΝ [43],Δήμος Αποκορώνου,,,
Αδελιανός Κάμπος A/Aquila Rithymna Beach,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Αδελιανός Κάμπος/Caramel Boutique,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Πηγιανός Κάμπος/Amira Luxury Resort,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Πηγιανός Κάμπος/Grecotel White Palace,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Πλατανιάς Β/Minos Mare Resort,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Ρέθυμνο 1/Aquila Porto Rethymno,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Ρέθυμνο 1/Ilios beach,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Ρέθυμνο 1/Kriti beach,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Ρέθυμνο 2/Pearl Βeach,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Ρέθυμνο 4-Μυσσίρια/Creta Palace,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Ρέθυμνο/Ικόνες,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Σκαλέτα/Creta Star,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Σκαλέτα/Rethymno Mare,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Ρεθύμνης,,,
Λιανός Κάβος Λαυρίς/Iberostar Creta Panorama,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Μυλοποτάμου,,,
Λιανός Κάβος/Creta Marine,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Μυλοποτάμου,,,
Μπαλί Λιβάδι/Mitsis Bali Paradise,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Μυλοποτάμου,,,
Πάνορμο Λίμνη/Grecotel Club Marine Palace,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Μυλοποτάμου,,,
Αγ. Γαλήνη/Ύστερο Βαρκοτόπι,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Αγίου Βασιλείου,,,
Αγ. Παύλος,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Αγίου Βασιλείου,,35.1026409,24.5606954
Πλακιάς,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Αγίου Βασιλείου,,35.1915354,24.3954504
Πλακιάς/Alegria Beach Resort,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Αγίου Βασιλείου,,,
Ροδάκινο,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Αγίου Βασιλείου,,35.199493,24.3174652
Σούδα,Π.Ε. ΡΕΘΥΜΝΟΥ [23],Δήμος Αγίου Βασιλείου,,35.1928984,24.3650704
Αμμουδάρα 1/Agapi Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Αμμουδάρα 4/Candia Maris,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Αμμουδάρα/Atlantica Akti Zeus,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Αμμουδάρα/Dessole Dolphin Bay,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Αμμουδάρα/Enorme Teatro Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Αμμουδάρα/Lifestyle Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Ελληνοπεράματα/Apollonia Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Μαδέ/Athina Palace,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Φόδελε/Fodele Beach Hotel,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Μαλεβιζίου,,,
Αγ. Γεώργιος 1/ Knossos Royal,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αγ. Γεώργιος 2-Παναγία ρύζι /Annabelle Beach Resort,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αγ. Γεώργιος 3/Mitsis Cretan Village,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αγ. Γεώργιος 3/Mitsis Royal Mare,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αγ. Δημήτριος/Alexander Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αγ. Δημήτριος/Cactus Beach Hotel,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αγία Πελαγία-Μενόπετρα/Akrogiali Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Αμνισός/Unique Blue Resort,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Ανισσαράς/Lyttos Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Ανισσαράς/Mitsis Selection Laguna,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Γούβες 1/Amirandes,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
"Δράπανος/Nana Golden Beach, Nana Princess",Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Εσταυρωμένος/Arina Beach Hotel,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Καστρί/Creta Maris,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Κλωντζάνη/Enorme Ammos Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Κλωντζάνη/Sirens Hotels,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Κοκκίνη Χάνι/Knossos Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Κοκκίνη Χάνι/Mitsis Rinela,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Κοκκίνη Χάνι/Themis Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Λιμένας Χερσονήσου 1/AKASHA Beach Hotel & Golden Beach,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Λιμένας Χερσονήσου 5/Silva Beach Hotel,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Ποταμός Α,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
Ποταμός/Cretan Malia Park,Π.Ε. ΗΡΑΚΛΕΙΟΥ [36],Δήμος Χερσοννήσου,,,
